customer_id,name,email,address,Delivery_City,Zip_Code
(309) 502-1004,Mia Smith,miasmith@gmail.com,665 Elm St,miami,33132
(309) 505-1011,James Garcia,jamesgarcia@hotmail.com,384 Oak Ave,miami,33125
(309) 502-1022,Daniel Bautista,danielbautista@google.com,660 Elm St,miami,33101
(305) 510-1022,Amelia Ramírez,ameliaramírez@gmail.com,194 Cedar Ln,miami,33136
(306) 500-1009,Alice Cruz,alicecruz@gmail.com,471 Birch Blvd,miami,33136
(307) 510-1022,Charlie Adams,charlieadams@gmail.com,515 Oak Ave,miami,33136
(307) 509-1002,James Gutiérrez,jamesgutiérrez@gmail.com,213 Cedar Ln,miami,33145
(305) 511-1011,Benjamin Lee,benjaminlee@hotmail.com,944 Main St,miami,33130
(306) 511-1006,Charlie Vázquez,charlievázquez@google.com,184 Oak Ave,miami,33136
(310) 511-1004,Liam Sánchez,liamsánchez@google.com,115 Willow Way,miami,33130
(305) 505-1007,Scarlett Martin,scarlettmartin@google.com,716 Birch Blvd,miami,33125
(308) 506-1006,David Baker,davidbaker@gmail.com,255 Cherry Ct,miami,33156
(308) 500-1017,Emma Green,emmagreen@gmail.com,692 Elm St,miami,33142
(306) 506-1012,Alexander White,alexanderwhite@google.com,422 Cedar Ln,miami,33136
(307) 505-1001,,,164 Main St,miami,33136
(306) 510-1012,Matthew Wilson,matthewwilson@gmail.com,551 Oak Ave,miami,33142
(305) 510-1001,William Díaz,williamdíaz@google.com,456 Elm St,miami,33125
(306) 509-1019,Chloe Carter,chloecarter@google.com,466 Cedar Ln,miami,33145
(310) 510-1007,Liam Scott,liamscott@gmail.com,656 Main St,miami,33145
(309) 501-1007,Ethan Sánchez,ethansánchez@hotmail.com,280 Willow Way,miami,33132
(310) 507-1008,Charlotte Guerrero,charlotteguerrero@hotmail.com,384 Elm St,miami,33150
(306) 503-1003,David Lee,davidlee@gmail.com,149 Elm St,miami,33156
(305) 508-1010,Daniel Bautista,danielbautista@google.com,,miami,33136
(306) 502-1005,,,546 Birch Blvd,miami,33136
(305) 502-1004,Henry Castro,henrycastro@gmail.com,961 Birch Blvd,miami,33156
(308) 503-1005,Amelia Walker,ameliawalker@hotmail.com,504 Willow Way,miami,33101
(307) 501-1006,Ethan Thompson,ethanthompson@google.com,311 Birch Blvd,miami,33145
(305) 506-1000,Matthew Davis,matthewdavis@hotmail.com,621 Cedar Ln,miami,33132
(306) 509-1014,Jack Flores,jackflores@gmail.com,183 Willow Way,miami,33132
(309) 505-1013,Liam Johnson,liamjohnson@gmail.com,,miami,33130
(307) 507-1016,Scarlett Ruiz,scarlettruiz@gmail.com,,miami,33147
(308) 503-1021,Daniel Brown,danielbrown@gmail.com,903 Oak Ave,miami,33125
(307) 509-1017,Matthew Cruz,matthewcruz@google.com,711 Cherry Ct,miami,33147
(306) 510-1011,David Young,davidyoung@google.com,,miami,33142
(309) 507-1001,Avery Ríos,averyríos@hotmail.com,468 Elm St,miami,33150
(305) 502-1014,Jack Johnson,jackjohnson@hotmail.com,,miami,33147
(309) 505-1002,,,791 Main St,miami,33145
(309) 509-1014,Avery Roberts,averyroberts@google.com,442 Maple Dr,miami,33142
(305) 500-1003,Emma Williams,emmawilliams@google.com,154 Cedar Ln,miami,33142
(307) 511-1007,,,663 Birch Blvd,miami,33125
(306) 509-1004,Isabella Martinez,isabellamartinez@google.com,157 Oak Ave,miami,33150
(306) 511-1018,Mia Flores,miaflores@google.com,911 Birch Blvd,miami,33101
(310) 501-1006,Matthew Wilson,matthewwilson@gmail.com,850 Cedar Ln,miami,33147
(307) 504-1017,Avery Garcia,averygarcia@hotmail.com,382 Cherry Ct,miami,33147
(306) 509-1017,Ella Young,ellayoung@hotmail.com,232 Cherry Ct,miami,33136
(310) 511-1000,Samuel Roberts,samuelroberts@hotmail.com,609 Elm St,miami,33125
(305) 508-1018,,,216 Willow Way,miami,33132
(307) 510-1001,Chloe Smith,chloesmith@hotmail.com,677 Oak Ave,miami,33136
(310) 500-1004,Ethan Jiménez,ethanjiménez@google.com,840 Cedar Ln,miami,33142
(306) 508-1012,David Rivera,davidrivera@google.com,815 Oak Ave,miami,33130
(305) 502-1005,Zoe Davis,zoedavis@google.com,743 Oak Ave,miami,33156
(309) 503-1019,Ella Ramírez,ellaramírez@hotmail.com,724 Pine Rd,miami,33101
(306) 502-1006,,,320 Maple Dr,miami,33150
(306) 505-1022,Eve Martin,evemartin@gmail.com,363 Maple Dr,miami,33132
(308) 507-1019,Bob Mendoza,bobmendoza@google.com,689 Birch Blvd,miami,33130
(307) 504-1008,Liam Green,liamgreen@hotmail.com,487 Willow Way,miami,33136
(309) 510-1001,Zoe Young,zoeyoung@hotmail.com,614 Elm St,miami,33150
(307) 501-1008,John Guerrero,johnguerrero@google.com,,miami,33136
(305) 509-1003,Ethan Guerrero,ethanguerrero@google.com,112 Main St,miami,33150
(309) 509-1010,Chloe Ramírez,chloeramírez@google.com,,miami,33150
(309) 503-1020,Ella Baker,ellabaker@hotmail.com,668 Cherry Ct,miami,33125
(310) 505-1006,Olivia White,oliviawhite@gmail.com,164 Birch Blvd,miami,33136
