order_id,date,item_name,Product_category,quantity,Unit_Price,transaction_amount,transaction_type,received_by,time_of_sale,Customer_ID,Delivery_Address
1,7/3/2022,2 chickens and 4 sides ,Combo ,8,65.49,523.92,Card,Z2504,Night,(305) 511-1011,"944 Main St, Kendall"
2,8/23/2022,2 chickens and 4 sides ,Combo ,9,65.49,589.41,Cash,O8563,Afternoon,(306) 502-1019,"435 Cherry Ct, Kendall"
3,11/20/2022,Side Dish Beand,Side ,4,3.59,14.36,Cash,Z2504,Afternoon,(308) 502-1004,"629 Main St, Hialeah"
4,2/3/2023,1 Piece Chicken ,Chicken_Main ,7,10.99,76.93,Online,Z2504,Night,(306) 506-1019,"115 Pine Rd,  Dolphin"
5,10/2/2022,2 chickens and 4 sides ,Combo ,9,65.49,589.41,Online,O8563,Evening,(307) 505-1011,"877 Pine Rd, Doral"
6,11/14/2022,1 Piece Chicken ,Chicken_Main ,5,10.99,54.95,Cash,O8563,Evening,(308) 504-1010,"244 Cherry Ct,  Dolphin"
7,5/3/2022,1 chichen and 2 sides,Combo ,4,45.59,182.36,Cash,E3960,Evening,(310) 502-1012,"865 Willow Way, Homestead"
8,12/22/2022,Side dish Salad,Side ,3,15.45,46.35,Online,Z2504,Night,(310) 511-1000,"609 Elm St, Kendall"
9,6/10/2022,1/2 Chicken,Chicken_Main ,1,13.13,13.13,Cash,Z2504,Morning,(308) 504-1006,"454 Cherry Ct, Hialeah"
10,9/16/2022,1 chichen and 2 sides,Combo ,1,45.59,45.59,Online,O8563,Afternoon,(306) 511-1020,"939 Elm St, North Miami"
11,12/1/2022,Side Dish Beans Large,Side ,6,5.79,34.74,Online,Z2504,Afternoon,(305) 504-1013,"665 Cedar Ln, Homestead"
12,7/12/2022,Side Dish Mashed Potatoes Large,Side ,8,5.79,46.32,Online,E3960,Night,(310) 510-1010,"631 Birch Blvd, Coral Gables"
13,12/22/2022,Side Dish Beans Large,Side ,1,5.79,5.79,Online,O8563,Afternoon,(306) 506-1019,"115 Pine Rd,  Dolphin"
14,11/25/2022,Side Dish Beand,Side ,4,3.59,14.36,Online,Z2504,Morning,(310) 507-1018,"359 Elm St, Kendall"
15,2/3/2023,Side Dish Fries Large,Side ,5,5.79,28.95,Cash,Z2504,Evening,(308) 507-1012,
16,4/14/2022,2 chickens and 4 sides ,Combo ,9,65.49,589.41,Card,O8563,Midnight,(305) 501-1004,
17,10/16/2022,Tres Leches ,Desert,1,4.99,4.99,Cash,Z2504,Morning,(306) 506-1004,"483 Oak Ave, North Miami"
18,11/5/2022,1 chichen and 2 sides,Combo ,1,45.59,45.59,Cash,E3960,Night,(307) 508-1017,"567 Cherry Ct, Homestead"
19,8/22/2022,1/2 chicken with fries ,Combo ,7,15.99,111.93,Cash,Z2504,Night,(306) 510-1013,"221 Cedar Ln, Homestead"
20,9/15/2022,1 Whole Chicken,Chicken_Main ,1,23.99,23.99,Online,Z2504,Night,(307) 510-1011,"892 Cedar Ln, Miami Beach"
21,12/21/2022,Alfajor,Desert,3,3.45,10.35,Cash,O8563,Evening,(309) 504-1003,"407 Maple Dr, Hialeah"
22,10/4/2022,1 chichen and 2 sides,Combo ,1,45.59,45.59,Online,Z2504,Evening,(305) 503-1018,"797 Elm St, North Miami"
